gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0021701218,156,PT11M34.00S,2,1610612745,HOU,201601,Mbah a Moute,L. Mbah a Moute,3,13,1,Missed,1,,,0,v,MISS Mbah a Moute 1' Running Layup,Missed Shot,Running Layup Shot,1,2,122
0021701218,157,PT11M31.00S,2,1610612747,LAL,101112,Frye,C. Frye,0,0,0,,0,,,0,h,Frye REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,123
0021701218,158,PT11M27.00S,2,1610612747,LAL,1627936,Caruso,A. Caruso,-228,-16,0,Missed,1,,,0,h,MISS Caruso 3PT Jump Shot,Missed Shot,Jump Shot,1,3,124
0021701218,159,PT11M23.00S,2,1610612745,HOU,201601,Mbah a Moute,L. Mbah a Moute,0,0,0,,0,,,0,v,Mbah a Moute REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,125
0021701218,160,PT11M16.00S,2,1610612747,LAL,1627936,Caruso,A. Caruso,0,0,0,,0,,,0,h,Caruso P.FOUL (P3.T1) (B.Adams),Foul,Personal,1,0,126
0021701218,162,PT11M16.00S,2,1610612747,LAL,1627936,Caruso,A. Caruso,0,0,0,,0,,,0,h,SUB: Wear FOR Caruso,Substitution,,0,0,127
0021701218,164,PT11M07.00S,2,1610612745,HOU,101123,Green,G. Green,-174,211,27,Made,1,16,26,42,v,Green 27' 3PT Jump Shot (3 PTS),Made Shot,Jump Shot,1,3,128
0021701218,165,PT10M46.00S,2,1610612747,LAL,201281,Ingram,A. Ingram,-111,241,27,Made,1,19,26,45,h,Ingram 27' 3PT Jump Shot (3 PTS) (Wear 1 AST),Made Shot,Jump Shot,1,3,129
0021701218,167,PT10M31.00S,2,1610612745,HOU,101108,Paul,C. Paul,-67,253,26,Missed,1,,,0,v,MISS Paul 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,130
0021701218,168,PT10M29.00S,2,1610612747,LAL,1627826,Zubac,I. Zubac,0,0,0,,0,,,0,h,Zubac REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,131
0021701218,169,PT10M19.00S,2,1610612745,HOU,101108,Paul,C. Paul,0,0,0,,0,,,0,v,Paul S.FOUL (P2.T1) (M.Davis),Foul,Shooting,1,0,132
0021701218,171,PT10M19.00S,2,1610612747,LAL,201281,Ingram,A. Ingram,0,0,0,,0,20,26,46,h,Ingram Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,133
0021701218,172,PT10M19.00S,2,1610612747,LAL,1627826,Zubac,I. Zubac,0,0,0,,0,,,0,h,SUB: Bryant FOR Zubac,Substitution,,0,0,134
0021701218,174,PT10M19.00S,2,1610612747,LAL,201281,Ingram,A. Ingram,0,0,0,,0,21,26,47,h,Ingram Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,135
0021701218,175,PT10M05.00S,2,1610612745,HOU,201601,Mbah a Moute,L. Mbah a Moute,-28,37,5,Missed,1,,,0,v,MISS Mbah a Moute 5' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,1,2,136
0021701218,175,PT10M05.00S,2,1610612747,LAL,204037,Wear,T. Wear,0,0,0,,0,,,0,h,Wear BLOCK (1 BLK),,,1,2,137
0021701218,177,PT10M05.00S,2,0,,1610612745,,,0,0,0,,0,,,0,v,Rockets Rebound,Rebound,Unknown,0,0,138
0021701218,178,PT09M59.00S,2,1610612745,HOU,201601,Mbah a Moute,L. Mbah a Moute,239,23,24,Missed,1,,,0,v,MISS Mbah a Moute 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,139
